1000.0,1000.0,0,0,-1
6,45,32,49,0
31,30,41,60,0
32,10,39,33,0
38,10,39,30,0
38,10,40,30,0
33,11,63,16,0
40,10,41,11,2
40,16,41,17,2
40,29,41,30,2
31,29,32,30,2
62,11,68,41,0
62,37,68,58,0
62,58,68,85,0
62,85,68,111,0
62,111,68,129,0
1000.0,1000.0,0,0,-1
6,45,32,49,0
31,30,41,60,0
32,10,39,33,0
38,10,39,30,0
38,10,40,30,0
33,11,63,16,0
40,10,41,11,2
40,16,41,17,2
40,29,41,30,2
31,29,32,30,2
62,11,68,41,0
62,37,68,58,0
62,58,68,85,0
62,85,68,111,0
62,111,68,129,0
31,60,41,61,3
62,29,63,30,2
62,28,63,29,2
62,27,63,28,2
63,27,65,30,2
65,27,65,27,2
64,27,65,28,0
64,28,65,29,0
64,29,65,30,0
65,40,67,43,2
67,40,68,41,2
67,41,68,42,2
67,42,68,43,2
65,40,66,41,0
65,41,66,42,0
65,42,66,43,0
62,53,63,54,2
62,54,64,57,2
62,53,63,54,0
64,68,67,71,2
67,70,68,71,2
67,69,68,70,2
67,68,68,69,2
64,68,65,69,0
64,69,65,70,0
64,70,65,71,0
64,54,65,55,2
64,54,64,54,2
64,55,65,56,2
64,56,65,57,2
61,83,62,84,2
61,83,62,84,0
61,83,62,84,1
62,82,65,85,2
65,84,66,85,2
65,83,66,84,2
65,82,66,83,2
63,99,67,102,2
67,99,68,100,2
67,100,68,101,2
67,101,68,102,2
63,99,64,100,0
63,100,64,101,0
63,101,64,102,0
1000.0,1000.0,0,0,-1
6,45,32,49,0
31,30,41,60,0
32,10,39,33,0
38,10,39,30,0
38,10,40,30,0
33,11,63,16,0
40,10,41,11,2
40,16,41,17,2
40,29,41,30,2
31,29,32,30,2
62,11,68,41,0
62,37,68,58,0
62,58,68,85,0
62,85,68,111,0
62,111,68,129,0
31,60,41,61,3
62,29,63,30,2
62,28,63,29,2
62,27,63,28,2
63,27,65,30,2
65,27,65,27,2
64,27,65,28,0
64,28,65,29,0
64,29,65,30,0
65,40,67,43,2
67,40,68,41,2
67,41,68,42,2
67,42,68,43,2
65,40,66,41,0
65,41,66,42,0
65,42,66,43,0
62,53,63,54,2
62,54,64,57,2
62,53,63,54,0
64,68,67,71,2
67,70,68,71,2
67,69,68,70,2
67,68,68,69,2
64,68,65,69,0
64,69,65,70,0
64,70,65,71,0
64,54,65,55,2
64,54,64,54,2
64,55,65,56,2
64,56,65,57,2
61,83,62,84,2
61,83,62,84,0
61,83,62,84,1
62,82,65,85,2
65,84,66,85,2
65,83,66,84,2
65,82,66,83,2
63,99,67,102,2
67,99,68,100,2
67,100,68,101,2
67,101,68,102,2
63,99,64,100,0
63,100,64,101,0
63,101,64,102,0
77,88,78,89,5
1000.0,1000.0,0,0,-1
40,27,41,28,2
40,28,41,29,2
31,27,32,28,2
31,28,32,29,2
31,26,32,27,2
31,25,32,26,2
31,24,32,25,2
31,23,32,24,2
40,23,41,24,2
40,24,41,25,2
40,25,41,26,2
40,26,41,27,2
40,22,41,23,2
40,21,41,22,2
40,18,41,19,2
40,20,41,21,2
40,20,41,21,2
40,19,41,20,2
40,17,41,18,2
31,17,32,18,2
31,18,32,19,2
31,19,32,20,2
31,20,32,21,2
31,21,32,22,2
31,22,32,23,2
31,16,31,16,2
31,16,32,17,2
66,124,104,129,0
101,128,118,157,0
101,112,119,130,0
118,112,119,130,1
103,90,116,112,0
105,66,114,89,0
105,88,114,91,0
107,51,112,66,0
108,35,111,51,0
104,28,115,35,0
109,31,110,32,5
107,50,108,51,2
111,50,112,51,2
111,49,112,50,2
111,48,112,49,2
111,47,112,48,2
111,46,112,47,2
107,46,108,47,2
107,47,108,48,2
107,48,108,49,2
107,49,107,49,2
107,45,108,46,2
107,44,108,45,2
107,49,107,49,2
107,49,107,49,2
107,49,108,50,2
111,44,112,45,2
111,45,112,46,2
113,65,114,66,2
112,65,112,65,2
112,59,112,66,2
112,60,113,65,2
112,65,113,66,2
106,60,107,66,2
105,65,106,66,2
112,59,113,60,2
106,59,107,60,2
114,83,116,90,2
103,83,105,90,2
102,82,104,89,1
115,82,117,89,1
116,105,117,112,2
117,111,118,112,2
101,106,103,111,2
102,111,102,111,2
101,111,102,112,2
102,111,103,112,2
101,106,102,107,1
101,107,102,108,1
101,108,102,109,1
101,109,102,110,1
101,110,102,111,1
101,157,117,158,3
117,157,118,158,3
1000.0,1000.0,0,0,-1
101,113,102,122,2
101,113,103,121,2
102,121,103,122,2
116,113,118,122,2
116,105,118,113,1
99,106,103,112,1
102,112,102,112,1
101,112,102,113,1
102,112,103,113,1
100,112,102,121,1
117,113,122,121,1
1000.0,1000.0,0,0,-1
1000.0,1000.0,0,0,-1
1000.0,1000.0,0,0,-1
70,126,0,0,6
70,126,71,127,6
1000.0,1000.0,0,0,-1
70,126,0,0,6
70,126,71,127,6
1000.0,1000.0,0,0,-1
77,88,0,0,6
77,88,78,89,0
77,88,78,89,1
109,31,0,0,6
108,30,109,31,0
70,127,0,0,5
70,127,71,128,5
1000.0,1000.0,0,0,-1
77,88,0,0,6
77,88,78,89,0
77,88,78,89,1
109,31,0,0,6
108,30,109,31,0
70,127,0,0,5
70,127,71,128,5
61,14,0,0,5
61,14,62,15,5
256.0,256.0,0,0,-1
107,34,111,54,0
107,33,113,52,0
110,35,112,38,1
109,34,112,40,0
112,35,113,52,1
256.0,256.0,0,0,-1
256.0,256.0,0,0,-1
256.0,256.0,0,0,-1
23,16,0,0,-2
8,47,0,0,4
33,49,0,0,-3
109,31,0,0,7
109,31,0,0,-3
104,31,0,0,7
104,31,0,0,-3
100,31,0,0,7
95,28,105,35,0
100,31,0,0,-3
99,32,0,0,7
TheCreator,0,0,0,-4
256.0,256.0,0,0,-1
18,44,28,44,2
30,44,31,45,2
29,44,30,45,2
28,44,29,45,2
27,44,28,45,2
27,49,28,50,2
28,49,29,50,2
29,49,30,50,2
29,49,30,50,2
30,49,31,50,2
TheCreator,0,0,0,-4
375.0,988.0,0,5,0,1
375.0,992.0,0,5,0,1
375.0,1001.0,0,5,0,1
374.0,1004.0,0,5,0,1
374.0,1009.0,0,5,0,1
373.0,1014.0,0,5,0,1
373.0,1021.0,0,5,0,1
372.0,1028.0,0,5,0,1
372.0,1038.0,0,5,0,1
372.0,1042.0,0,5,0,1
369.0,1052.0,0,5,0,1
368.0,1055.0,0,5,0,1
